#TYPE Selected.System.Management.Automation.PSCustomObject
"IP","Hostname","Description","DeviceID"
"192.168.5.157","DM-NVX-350-00107FBA9FA2","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89329002]","E-00107fba9fa2"
"192.168.5.159","DM-NVX-350-00107FB2B746","DM-NVX-350 [v1.3707.00024 (Jun 22 2018), #8872AC20]","E-00107fb2b746"
"192.168.5.160","DM-NVX-350-00107FBA9FA4","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328FFE]","E-00107fba9fa4"
"192.168.5.171","DM-NVX-350-00107FBA9D98","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328F67]","E-00107fba9d98"
"192.168.5.172","DM-NVX-350-00107FB27573","DM-NVX-350 [v1.3707.00024 (Jun 22 2018), #88628744]","E-00107fb27573"
"192.168.5.176","DM-NVX-350-00107FBA95A4","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328EAE]","E-00107fba95a4"
"192.168.5.177","DM-NVX-350-00107FBA95A3","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328EB5]","E-00107fba95a3"
"192.168.5.178","DM-NVX-350-00107FBA9FB7","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89329010]","E-00107fba9fb7"
"192.168.5.179","DM-NVX-350-00107FBA938F","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328E32]","E-00107fba938f"
"192.168.5.181","DM-NVX-350-00107FBA9435","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328E5E]","E-00107fba9435"
"192.168.5.183","DM-NVX-350-00107FB27517","DM-NVX-350 [v1.3707.00024 (Jun 22 2018), #8852BCA6]","E-00107fb27517"
"192.168.5.184","DM-NVX-350-00107FBA9DA5","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328F6A]","E-00107fba9da5"
"192.168.5.185","DM-NVX-350-00107FBA9FBE","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #8932900E]","E-00107fba9fbe"
"192.168.5.192","DM-NVX-350-00107FB2B767","DM-NVX-350 [v1.3707.00024 (Jun 22 2018), #8872B072]","E-00107fb2b767"
"192.168.5.201","DM-NVX-350-00107FBA9F67","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328FF7]","E-00107fba9f67"
"192.168.5.206","DM-NVX-350-00107FBA6A5A","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #8912BF19]","E-00107fba6a5a"
"192.168.5.207","DM-NVX-350-00107FB2B70F","DM-NVX-350 [v1.3707.00024 (Jun 22 2018), #8872B042]","E-00107fb2b70f"
"192.168.5.208","DM-NVX-350-00107FBA95C3","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328EAD]","E-00107fba95c3"
"192.168.5.210","DM-NVX-350-00107FBA9F70","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328FEB]","E-00107fba9f70"
"192.168.5.214","DM-NVX-350-00107FBA9F74","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328FFC]","E-00107fba9f74"
"192.168.5.215","DM-NVX-350-00107FBA95CB","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328EAB]","E-00107fba95cb"
"192.168.5.218","DM-NVX-350-00107FB2B71A","DM-NVX-350 [v1.3707.00024 (Jun 22 2018), #8872B043]","E-00107fb2b71a"
"192.168.5.221","DM-NVX-350-00107FB2753D","DM-NVX-350 [v1.3707.00024 (Jun 22 2018), #8852BC89]","E-00107fb2753d"
"192.168.5.222","DM-NVX-350-00107FBA9F7B","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328FFB]","E-00107fba9f7b"
"192.168.5.224","DM-NVX-350-00107FBA9FE5","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89329023]","E-00107fba9fe5"
"192.168.5.226","DM-NVX-350-00107FBA9F19","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328FDA]","E-00107fba9f19"
"192.168.5.227","DM-NVX-350-00107FBA95D7","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328EB7]","E-00107fba95d7"
"192.168.5.228","DM-NVX-350-00107FBA9F82","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89329001]","E-00107fba9f82"
"192.168.5.236","DM-NVX-350-00107FBA9FF1","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89329028]","E-00107fba9ff1"
"192.168.5.239","DM-NVX-350-00107FBA9DDC","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328F83]","E-00107fba9ddc"
"192.168.5.240","DM-NVX-350-00107FBA9516","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328E8A]","E-00107fba9516"
"192.168.5.241","DM-NVX-350-00107FBA9F8F","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89329008]","E-00107fba9f8f"
"192.168.5.251","DM-NVX-350-00107FBA9588","DM-NVX-350 [v1.3707.00028 (Aug 15 2018), #89328E98]","E-00107fba9588"
"192.168.5.252","DM-NVX-350-00107FB2B6FE","DM-NVX-350 [v1.3707.00024 (Jun 22 2018), #8872AC86]","E-00107fb2b6fe"
