Device,Scan Hostname,Description,Scan DeviceID,MAC,Hostname,Network,IP,Subnet,Gateway,Room_Name,Room_Number,Room_Type,processorIP,IPID,Floor,codec_ip,program_name,config_file_name,config_file_path,load_code_number,,display_number
,,RMC3-,,00107fa6e1fe,wf02-6106-rmc3,10.5.9.0/24,10.5.9.12,255.255.255.0,10.5.9.1,Comic Sans,6106,Med VC,,,6,10.5.9.11,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
,,RMC3-,,00107fa6d4d8,wf02-6107-rmc3,10.5.9.0/24,10.5.9.16,255.255.255.0,10.5.9.1,Wingdings,6107,Med VC,,,6,10.5.9.15,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
,,RMC3-,,00107fa800f2,wf02-6112-rmc3,10.5.9.0/24,10.5.9.20,255.255.255.0,10.5.9.1,Bookman,6112,Med VC,,,6,10.5.9.19,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
,,RMC3-,MISSING,00107fa6ddc6,wf02-6206-rmc3,10.5.9.0/24,10.5.9.24,255.255.255.0,10.5.9.1,Luminari,6206,Sm VC,,,6,10.5.9.23,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
,,RMC3-,,00107fa80134,wf02-6212-rmc3,10.5.9.0/24,10.5.9.28,255.255.255.0,10.5.9.1,Helvetica,6212,Med VC,,,6,10.5.9.27,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
,,RMC3-,,00107fa6a516,wf02-6213-rmc3,10.5.9.0/24,10.5.9.32,255.255.255.0,10.5.9.1,SF Hello,6213,Med VC,,,6,10.5.9.31,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
,,RMC3-,,00107fa80249,wf02-6408-rmc3,10.5.9.0/24,10.5.9.36,255.255.255.0,10.5.9.1,Garamond,6408,Med VC,,,6,10.5.9.35,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
,,RMC3-,,00107fa6def2,wf02-6410-rmc3,10.5.9.0/24,10.5.9.41,255.255.255.0,10.5.9.1,Futura,6410,Lrg VC,,,6,10.5.9.40,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
,,RMC3-,,00107fa6e250,wf02-6422-rmc3,10.5.9.0/24,10.5.9.45,255.255.255.0,10.5.9.1,Courier,6422,Med VC,,,6,10.5.9.44,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
,,RMC3-,,00107fa6dbd2,wf01-6122-rmc3,10.5.1.0/24,10.5.1.14,255.255.255.0,10.5.1.1,Coffeeville,6122,Lrg VC,,,6,10.5.1.13,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
,,RMC3-,,00107fa6d633,wf01-6121-rmc3,10.5.1.0/24,10.5.1.18,255.255.255.0,10.5.1.1,Walla Walla,6121,Med VC,,,6,10.5.1.17,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
,,RMC3-,,00107fa6d9c3,wf01-6120-rmc3,10.5.1.0/24,10.5.1.22,255.255.255.0,10.5.1.1,Half Moon Bay,6120,XL VC,,,6,10.5.1.21,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
,,RMC3-,,00107fa6dd8d,wf01-6204-rmc3,10.5.1.0/24,10.5.1.26,255.255.255.0,10.5.1.1,Yakima,6204,Med VC,,,6,10.5.1.25,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
,,RMC3-,,00107fa6dc1f,wf01-6205-rmc3,10.5.1.0/24,10.5.1.30,255.255.255.0,10.5.1.1,Minerva,6205,Med VC,,,6,10.5.1.29,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
,,RMC3-,,00107fa6dcf2,wf01-6301-rmc3,10.5.1.0/24,10.5.1.34,255.255.255.0,10.5.1.1,Kalamazoo,6301,Lrg VC,,,6,10.5.1.33,,Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06.json,C:\Users\p_sanderson\Documents\All Crestron Code\APPLE\WF01\Pepperdash Code\Apple T05 Programming\Apple T07 Programming\Apple.AC2.T05.Developer.Config_TEMPLATE_v01.06,1,,
